,PRECTOTCORR,IMERG_PRECTOT,T2M,T2M_MAX,T2M_MIN,RH2M,QV2M,GWETTOP,GWETROOT,ALLSKY_SFC_SW_DWN,WS2M,precio_interno,year_iso,week_iso
PRECTOTCORR,1.0,,-0.32625321877968033,-0.533729491633257,0.15510923834227838,0.6509212736696713,0.3880679869179708,0.47469147883111035,0.3976662626158926,-0.47048668079895417,-0.5097340136955109,0.32521552960219596,0.238798630889241,-0.03196944578517152
IMERG_PRECTOT,,,,,,,,,,,,,,
T2M,-0.32625321877968033,,1.0,0.9120449668951327,0.7502600795889072,-0.6056284614683262,0.36677515403410216,-0.6443655404493823,-0.6080107864819713,0.4171158845744442,0.20043063412813103,-0.3794742262837047,0.12260074073308234,-0.04884655482997448
T2M_MAX,-0.533729491633257,,0.9120449668951327,1.0,0.43086348696457616,-0.8524122036757067,-0.013458690127097925,-0.7480749293396768,-0.6909861240608941,0.6132397666501098,0.384314169166895,-0.43724435342259255,-0.04156684757695875,-0.027360836509358413
T2M_MIN,0.15510923834227838,,0.7502600795889072,0.43086348696457616,1.0,0.009672925416659112,0.8044782006228066,-0.3111585565830132,-0.32907785266485684,-0.0979424305418509,-0.25756150504831316,-0.12873930828029428,0.28582934402927834,-0.08261583329183447
RH2M,0.6509212736696713,,-0.6056284614683262,-0.8524122036757067,0.009672925416659112,1.0,0.5156865958299426,0.7770030596599479,0.7051038377086906,-0.6471916844445751,-0.47099155893336575,0.4616187990849813,0.26550260320978114,-0.00391387568152803
QV2M,0.3880679869179708,,0.36677515403410216,-0.013458690127097925,0.8044782006228066,0.5156865958299426,1.0,0.22718860698131213,0.1813866099112794,-0.2897013433433368,-0.3067906271791951,0.12929895382931036,0.45227328749161383,-0.048140318170672325
GWETTOP,0.47469147883111035,,-0.6443655404493823,-0.7480749293396768,-0.3111585565830132,0.7770030596599479,0.22718860698131213,1.0,0.9880933687399134,-0.3513045543096748,-0.10838776896316758,0.48871536513829367,0.3286498175372219,-0.11771426879203524
GWETROOT,0.3976662626158926,,-0.6080107864819713,-0.6909861240608941,-0.32907785266485684,0.7051038377086906,0.1813866099112794,0.9880933687399134,1.0,-0.30391322689467126,-0.04000770145763888,0.4569363959348923,0.29290258816399345,-0.13373090542174032
ALLSKY_SFC_SW_DWN,-0.47048668079895417,,0.4171158845744442,0.6132397666501098,-0.0979424305418509,-0.6471916844445751,-0.2897013433433368,-0.3513045543096748,-0.30391322689467126,1.0,0.38822231595460366,-0.22922873007415398,-0.00957390958783396,0.12801946457741792
WS2M,-0.5097340136955109,,0.20043063412813103,0.384314169166895,-0.25756150504831316,-0.47099155893336575,-0.3067906271791951,-0.10838776896316758,-0.04000770145763888,0.38822231595460366,1.0,-0.15735007199902723,-0.007174620400516513,0.14249109265915894
precio_interno,0.32521552960219596,,-0.3794742262837047,-0.43724435342259255,-0.12873930828029428,0.4616187990849813,0.12929895382931036,0.48871536513829367,0.4569363959348923,-0.22922873007415398,-0.15735007199902723,1.0,0.5815509789230108,0.09762802385293738
year_iso,0.238798630889241,,0.12260074073308234,-0.04156684757695875,0.28582934402927834,0.26550260320978114,0.45227328749161383,0.3286498175372219,0.29290258816399345,-0.00957390958783396,-0.007174620400516513,0.5815509789230108,1.0,-0.06233842518532172
week_iso,-0.03196944578517152,,-0.04884655482997448,-0.027360836509358413,-0.08261583329183447,-0.00391387568152803,-0.048140318170672325,-0.11771426879203524,-0.13373090542174032,0.12801946457741792,0.14249109265915894,0.09762802385293738,-0.06233842518532172,1.0
