,count,mean,min,25%,50%,75%,max,std
fecha,253,2023-06-05 00:00:00,2021-01-04 00:00:00,2022-03-21 00:00:00,2023-06-05 00:00:00,2024-08-19 00:00:00,2025-11-03 00:00:00,
PRECTOTCORR,253.0,5.193816073781291,0.2885714285714286,2.603428571428572,4.341142857142858,6.596571428571428,18.48257142857143,3.5229920860127284
IMERG_PRECTOT,0.0,,,,,,,
T2M,253.0,19.58849117259552,18.009428571428572,19.08714285714285,19.519714285714286,19.988,22.61914285714285,0.7541941217041394
T2M_MAX,253.0,24.20542676453981,22.039142857142856,23.37914285714286,24.077714285714286,24.87228571428572,28.400571428571425,1.1398560969066625
T2M_MIN,253.0,16.16828511198946,14.226,15.717428571428574,16.216857142857144,16.62085714285714,18.467714285714287,0.702698050259161
RH2M,253.0,84.03801189535103,70.53628571428571,82.00285714285715,84.55457142857144,86.95485714285715,89.3682857142857,3.528379344904427
QV2M,253.0,14.007439563335215,11.857714285714286,13.608,14.06657142857143,14.3824,15.549142857142858,0.6043303389431192
GWETTOP,253.0,0.7729115753811405,0.636,0.7097142857142857,0.774,0.834,0.9205714285714286,0.07331717654253224
GWETROOT,253.0,0.7699112365894974,0.6388571428571429,0.7014285714285714,0.7605714285714286,0.8394285714285713,0.9462857142857144,0.0812764428898832
ALLSKY_SFC_SW_DWN,253.0,15.527505627705628,12.191714285714289,14.411714285714286,15.419428571428572,16.408571428571427,22.314,1.531445976481592
WS2M,253.0,0.8634782608695653,0.528,0.7891428571428571,0.8517142857142858,0.9305714285714286,1.2854285714285714,0.11358944985705895
precio_interno,253.0,1982179.773009599,1050285.714285714,1463000.0,1959571.428571429,2252571.428571429,3282428.571428571,556670.1195319935
year_iso,253.0,2022.9446640316205,2021.0,2022.0,2023.0,2024.0,2025.0,1.3961757525166463
week_iso,253.0,25.877470355731226,1.0,13.0,26.0,38.0,52.0,14.75933946733439
